Frame 0
Iteration 376: Reprojection Error: 0.1825, Photometric Error: 0.2041
Iteration 377: Reprojection Error: 0.1825, Photometric Error: 0.2041
Iteration 378: Reprojection Error: 0.1825, Photometric Error: 0.2041
Iteration 379: Reprojection Error: 0.1825, Photometric Error: 0.2041
Iteration 380: Reprojection Error: 0.1825, Photometric Error: 0.2041
Iteration 381: Reprojection Error: 0.1825, Photometric Error: 0.2041
Iteration 382: Reprojection Error: 0.1825, Photometric Error: 0.2041
Iteration 383: Reprojection Error: 0.1825, Photometric Error: 0.2041
Iteration 384: Reprojection Error: 0.1825, Photometric Error: 0.2041
Iteration 385: Reprojection Error: 0.1825, Photometric Error: 0.2041
Iteration 386: Reprojection Error: 0.1825, Photometric Error: 0.2041
Iteration 387: Reprojection Error: 0.1825, Photometric Error: 0.2041
Iteration 388: Reprojection Error: 0.1825, Photometric Error: 0.2041
Iteration 389: Reprojection Error: 0.1825, Photometric Error: 0.2041
Iteration 390: Reprojection Error: 0.1825, Photometric Error: 0.2041
Iteration 391: Reprojection Error: 0.1825, Photometric Error: 0.2041
Iteration 392: Reprojection Error: 0.1825, Photometric Error: 0.2041
Iteration 393: Reprojection Error: 0.1825, Photometric Error: 0.2041
Iteration 394: Reprojection Error: 0.1825, Photometric Error: 0.2041
Iteration 395: Reprojection Error: 0.1825, Photometric Error: 0.2041
Iteration 396: Reprojection Error: 0.1825, Photometric Error: 0.2041
Iteration 397: Reprojection Error: 0.1825, Photometric Error: 0.2041
Iteration 398: Reprojection Error: 0.1825, Photometric Error: 0.2041
Iteration 399: Reprojection Error: 0.1825, Photometric Error: 0.2041
Iteration 400: Reprojection Error: 0.1825, Photometric Error: 0.2041
Iteration 401: Reprojection Error: 0.1825, Photometric Error: 0.2041
Iteration 402: Reprojection Error: 0.1825, Photometric Error: 0.2041
Iteration 403: Reprojection Error: 0.1825, Photometric Error: 0.2041
Iteration 404: Reprojection Error: 0.1825, Photometric Error: 0.2041
Iteration 405: Reprojection Error: 0.1825, Photometric Error: 0.2041
Iteration 406: Reprojection Error: 0.1825, Photometric Error: 0.2041
Iteration 407: Reprojection Error: 0.1825, Photometric Error: 0.2041
Iteration 408: Reprojection Error: 0.1825, Photometric Error: 0.2041
Iteration 409: Reprojection Error: 0.1825, Photometric Error: 0.2041
Iteration 410: Reprojection Error: 0.1825, Photometric Error: 0.2041
