Frame 0
Iteration 273: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 274: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 275: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 276: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 277: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 278: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 279: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 280: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 281: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 282: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 283: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 284: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 285: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 286: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 287: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 288: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 289: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 290: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 291: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 292: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 293: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 294: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 295: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 296: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 297: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 298: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 299: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 300: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 301: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 302: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 303: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 304: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 305: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 306: Reprojection Error: 0.0770, Photometric Error: 0.0673
